"","face","mean.human","mean.mech","mean.emot","time","time.sd","low.emot","like.mean","like.sd","trust.mean","trust.sd","composite","nadir.dist","like.adj.mean","trust.adj.mean","emot.valence"
"72",73,31.7878787878788,82.7575757575758,23,13.2205,10.6589038352449,0,-33.536231884058,42.0547890922365,39.4363636363636,32.7095883758443,-50.969696969697,87.453796969697,-36.477367656974,36.5434670398322,"pos"
"34",35,36.030303030303,85.6666666666667,-17.2121212121212,12.212,24.3135867828673,1,-45.484375,42.4593146762613,36.5762711864407,32.2966868108739,-49.6363636363637,86.1204636363637,-45.2442560778049,34.6455366172674,"neg"
"45",46,32.15625,80.8787878787879,21.2769230769231,13.592,10.6367259443473,0,-12.5820895522388,49.1738256484174,42.2033898305085,32.4046504011581,-48.7225378787879,85.2066378787879,-12.5273682992806,37.2714975512222,"pos"
"43",44,32.875,80.6363636363636,1.921875,11.4015,10.2086928235451,1,27.2295081967213,42.5959283823478,33.1090909090909,28.9684839778174,-47.7613636363636,84.2454636363636,28.7855368771476,37.9618796240617,NA
"42",43,29.6969696969697,76.5757575757576,32.6060606060606,12.1895,58.2927432627327,0,29.5915492957746,47.1637201564292,45.2739726027397,33.4540565029002,-46.8787878787879,83.3628878787879,32.2452309201381,46.8500692506612,"pos"
"10",11,33.6969696969697,79.9090909090909,-2.61904761904762,11.0355,12.6658819061619,1,-18.7924528301887,46.1808145689586,36.5272727272727,30.2445921370309,-46.2121212121212,82.6962212121212,-21.5263343870106,36.4610529845026,NA
"52",53,34.8181818181818,79.7272727272727,-10.2769230769231,12.2445,7.34179798512002,1,-14.5806451612903,35.6750123264867,38.6,29.3324494816337,-44.9090909090909,81.3931909090909,-14.7626786245945,39.7411008228298,"neg"
"55",56,35.2121212121212,80.030303030303,-4.55384615384615,12.3375,14.5465131659989,1,15.3548387096774,41.6519917750162,37.7121212121212,29.0960029776839,-44.8181818181818,81.3022818181818,13.0853291156342,37.8261635496776,NA
"74",75,36.2424242424242,79.6060606060606,1.87692307692308,11.8965,11.2958993822675,1,21,39.253107540842,43.2238805970149,30.5484319369049,-43.3636363636364,79.8477363636364,23.8683260531538,41.8461007416404,NA
"76",77,44.53125,83.2727272727273,-30.3030303030303,12.1065,127.949832369874,1,-54.859649122807,43.5042849270913,22.8135593220339,27.763455623306,-38.7414772727273,75.2255772727273,-60.3761217158894,23.9169315298844,"neg"
"39",40,39,75.7272727272727,-34.3636363636364,12.7055,10.660584482811,1,6.31578947368421,39.7083824789898,44.8358208955224,34.5896275462113,-36.7272727272727,73.2113727272727,4.93136768027808,45.858989147491,"neg"
"29",30,43.6969696969697,77.2424242424242,-5.49206349206349,11.3095,63.4773152018698,1,-34.1666666666667,39.654177778149,32.7313432835821,28.3765706224248,-33.5454545454545,70.0295545454545,-33.8634633407143,35.8793486175218,NA
"80",81,38.9393939393939,70.8181818181818,-4.63076923076923,11.1885,11.3608288217563,1,5.03448275862069,48.5223643561422,44.2295081967213,31.9970797847881,-31.8787878787879,68.3628878787879,5.27378677696627,39.2408183688722,NA
"48",49,43.5151515151515,73.969696969697,17.6769230769231,14.8405,43.620945659525,0,-10.21875,50.4013947747292,37.66,23.5429351593714,-30.4545454545455,66.9386454545455,-11.442405822683,37.9545068383946,"pos"
"16",17,61.2727272727273,69.0909090909091,2.421875,12.849,15.4939211092564,1,-0.491228070175439,47.902476377613,48.7241379310345,33.4982550493166,-7.81818181818179,44.3022818181818,-1.26552880165473,47.3516426867235,NA
"13",14,51.5625,56.030303030303,11.6515151515152,13.5955,11.7696455696705,0,-35.758064516129,45.6952433166327,34.1290322580645,29.6302259669312,-4.467803030303,40.951903030303,-34.4581016753383,36.9798781408217,"pos"
"15",16,65.46875,60.9090909090909,-16.3538461538462,13.302,10.2970599348486,1,-19.8888888888889,46.1725348383206,27.484375,28.0532329503794,4.5596590909091,31.9244409090909,-19.7665167381951,30.6806954157414,"neg"
"21",22,58.8787878787879,48.4848484848485,14.9545454545455,13.744,19.5587601761991,0,-1.3015873015873,50.1049334125747,38.3,32.0996865003028,10.3939393939394,26.0901606060606,-2.24496595630439,38.016192400481,"pos"
"17",18,69.0625,55.6363636363636,2.8,14.7225,28.9171522275779,1,-8.28571428571429,54.3593144266469,36.7096774193548,29.6108016936964,13.4261363636364,23.0579636363636,-9.1889155332206,40.4738648693657,NA
"26",27,65.0606060606061,43.1515151515151,-78.530303030303,11.4425,9.93049105264287,1,-76.9180327868852,28.8150973634582,27.741935483871,30.3784519640727,21.909090909091,14.575009090909,-79.4509943946212,27.4443410044766,"neg"
"63",64,66.9393939393939,38.6875,36.0153846153846,14.146,21.8977734270246,0,25.8985507246377,54.4715643377178,43.0151515151515,32.105351782119,28.2518939393939,8.2322060606061,26.1086886290458,40.0370480084599,"pos"
"73",74,80.3636363636364,38.2727272727273,5.12121212121212,16.0455,59.3267980622353,1,-20.5294117647059,49.1517511837059,35.7692307692308,29.5099396553354,42.0909090909091,5.6068090909091,-22.3314453393567,34.4941998437959,NA
"23",24,78.7272727272727,31.0606060606061,-26.6969696969697,13.8255,13.501672947331,1,-36.3389830508475,45.626901535997,38.8888888888889,32.4246576379623,47.6666666666666,11.1825666666666,-37.8202840647572,39.1837218917675,"neg"
"78",79,81.2424242424242,28,5.27692307692308,13.1965,11.185488298036,1,-42.7941176470588,41.4190664955053,34.6875,29.551072281998,53.2424242424242,16.7583242424242,-44.928805451515,31.1140462723681,NA
"11",12,83.4848484848485,29.3030303030303,14.2121212121212,14.237,13.9079884363683,0,-47.9411764705882,40.2534032174701,29.8852459016393,30.9408566788617,54.1818181818182,17.6977181818182,-46.7100454979253,31.0678960964481,"pos"
"67",68,81.4848484848485,26.2727272727273,-51.1212121212121,12.376,19.112140246597,1,-56.887323943662,34.9724582639272,32.3928571428571,31.6231667504169,55.2121212121212,18.7280212121212,-55.8442466273947,33.6443733358524,"neg"
"66",67,78.6363636363636,20.5454545454545,-41.9393939393939,12.604,44.7256011331949,1,-50.875,36.053535116077,30.0379746835443,30.3143543209613,58.0909090909091,21.6068090909091,-48.1588312800111,31.2297369133996,"neg"
"25",26,83.875,20.6060606060606,10.8615384615385,12,15.097120486655,0,-15.1864406779661,52.7183389462408,33.9090909090909,26.7606255200453,63.2689393939394,26.7848393939394,-17.5650897606937,32.9946989697448,"pos"
"6",7,85.5757575757576,20.1515151515152,-44.0606060606061,13.309,9.66168281712566,1,-46.9230769230769,48.9171198598672,29.2372881355932,28.7602089718625,65.4242424242424,28.9401424242424,-49.6733556630002,31.6921126181768,"neg"
"68",69,84.3636363636364,18.8484848484848,11.6666666666667,11.9295,10.5176927389098,0,-14.1147540983607,57.2573425744552,40.7941176470588,28.7540049506564,65.5151515151516,29.0310515151516,-13.3031804157598,37.6171366862625,"pos"
"35",36,85.9090909090909,18.9393939393939,36.9242424242424,12.495,10.6655578209784,0,-23.8285714285714,51.9578902597906,45.2127659574468,33.2349581342171,66.969696969697,30.485596969697,-23.3424801383597,44.6404845564435,"pos"
"7",8,87.0606060606061,19.9090909090909,1.89230769230769,12.279,11.1827511022416,1,23.8,52.6693555775002,43.7735849056604,30.7575140972051,67.1515151515152,30.6674151515152,25.3720294313152,42.488490057388,NA
"36",37,88.3030303030303,18.2424242424242,22.9230769230769,12.944,8.16152120705979,0,18.3846153846154,56.0219522563734,39.0909090909091,30.885854803389,70.0606060606061,33.5765060606061,20.3341301378179,40.0726540140543,"pos"
"46",47,87.969696969697,17.8787878787879,30.969696969697,13.3435,13.5822561052337,0,-9.36923076923077,49.5169065922089,35.8529411764706,32.1889313996784,70.0909090909091,33.6068090909091,-8.35832236613045,40.3707160240578,"pos"
"12",13,89.2727272727273,16.5454545454545,10.7538461538462,13.93,19.4279918090531,0,3.5,53.5646537480412,44.672131147541,32.3567207400438,72.7272727272728,36.2431727272728,0.424622352450667,42.5334402380093,"pos"
"19",20,89.7272727272727,14.6969696969697,-32.0606060606061,15.0755,16.5884904394977,1,-43.6621621621622,46.3941650284351,26.4038461538462,26.8906716206785,75.030303030303,38.546203030303,-44.1466474385485,30.2809676412835,"neg"
"5",6,90.2424242424242,11.4242424242424,16.5909090909091,14.4895,8.7455864494739,0,-2.21621621621622,56.0575218934027,37.0363636363636,30.3735774770475,78.8181818181818,42.3340818181818,-2.47464313566758,40.8765792171579,"pos"
"40",41,91.4545454545455,10.5,-11.6875,13.4465,18.1175249585269,1,-24.1447368421053,54.3663385922744,32.8571428571429,32.124756808418,80.9545454545455,44.4704454545455,-24.7646880142269,35.7143723522547,"neg"
"64",65,94.3939393939394,9.84848484848485,20.5,12.0565,17.7219585670362,0,20.5846153846154,47.6785762645592,45.125,30.8979374664805,84.5454545454546,48.0613545454546,22.7168220498238,48.5785614202001,"pos"
"79",80,94.8484848484848,4.21212121212121,29.0909090909091,14.8325,34.7460126720907,0,6.96363636363636,57.602714582498,41.4615384615385,29.4326970195759,90.6363636363636,54.1522636363636,9.81791651565086,42.5722513981602,"pos"
"65",66,95.5151515151515,2.84848484848485,41.3939393939394,13.0075,14.6325085249705,0,28.8666666666667,56.3684809953002,47.4444444444444,31.3280137328309,92.6666666666667,56.1825666666667,32.8349467913014,45.5620616846648,"pos"
"1",2,96.6666666666667,3.45454545454545,35.4545454545455,12.3675,11.3229545732786,0,1.68181818181818,54.630833528585,35.2461538461538,33.1954584474814,93.2121212121212,56.7280212121212,2.13340245396358,33.3719543148444,"pos"
